identifier,statement_code,description,academic_subject,grade_level,statement_type
514b82d1-dcd5-4bd0-8ec9-3f867a6e466b,DALE-SA.2-3.relatar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre relatos para...
* compartir experiencias vividas y aprendizajes previos
* analizar imágenes y representaciones en cuentos o historias
* hacer y responder a preguntas sobre lo que otros han compartido
* discutir los próximos pasos a seguir o el final de historias
* explorar conexiones sociales (físicas y/o virtuales) y personalizar sus entornos
* experimentar situaciones que les generan emociones",English Language Arts,"['2', '3']",Standard
42e84a0c-f4fa-46f2-a904-96ab4e89f1fe,,9º al 12º GRADO,English Language Arts,"['9', '10', '11', '12']",Standard Grouping
b1f68b26-4265-4901-b4b0-7c1d9b899dd2,DALE-AL.9-12.informar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar información para...
* introducir y definir temas y/o entidades para una variedad de audiencias y propósitos
* establecer posturas objetivas o neutrales
* agregar precisión, detalles y claridad acerca de atributos, comportamientos y relaciones conceptuales complejas
* desarrollar coherencia y cohesión en textos multimodales bilingües
* presentar conocimiento creado a través de investigaciones que integren, comparen y sinteticen las ideas de textos multimodales y multiculturales
* describir omisiones y/o alusiones significativas en textos multimodales bilingües",English Language Arts,"['9', '10', '11', '12']",Standard
6a08d48a-fe3f-4d1b-8050-61f101a53b6b,DALE-MA.4-5.argumentar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar argumentos para...
* crear conjeturas usando definiciones, patrones y reglas
* determinar los puntos en común y las diferencias entre casos
* identificar la aplicación de patrones o reglas en conclusiones
* captar los fundamentos de los demás
* decidir sobre el uso estratégico de herramientas
* descifrar el razonamiento y las premisas matemáticas",English Language Arts,"['4', '5']",Standard
bf1410c4-c7a3-4c3a-994b-d352f4c08d12,DALE-MA.4-5.informar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar información para...
* reconocer las ideas y conceptos clave
* conectar conceptos matemáticos a situaciones de la vida real
* distinguir los detalles que sirven para definir problemas matemáticos
* notar la organización de contenido en textos multimodales
* determinar conceptos aplicables en la resolución de problemas matemáticos
* identificar detalles precisos relacionados con la estructura matemática",English Language Arts,"['4', '5']",Standard
d0ebac51-df09-4c58-82d3-bf880a6e95d5,CD.2-12.ORA.N1,"Hacia el final de cada nivel de desempeño lingüístico, con los apoyos apropiados, los estudiantes bi/multilingües podrán…Entender y demostrar cómo se crean, conectan y extienden mensajes (orales, escritos y multimodales) a través de… Fragmentos de oraciones y oraciones simples con uso emergente de convenciones.",English Language Arts,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",Other
fcb29c66-6896-4592-8350-6ff66e6565d3,DALE-MA.2-3.explicar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar explicaciones para...
* introducir conceptos o representaciones matemáticas
* describir los pasos y decisiones que toman para resolver problemas
* precisar detalles de patrones matemáticos
* articular razonamientos detrás de soluciones
* representar el pensamiento matemático
* detallar modelos matemáticos",English Language Arts,"['2', '3']",Standard
4ffdddca-132b-4ad9-a3a6-1562f7671047,DALE-CS.K.relatar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar relatos para...
* proveer ejemplos de conceptos de las ciencias sociales en su comunidad
* aplicar conceptos de las ciencias sociales a situaciones personales
* describir la relación entre conceptos de las ciencias sociales y otras disciplinas
* conectar conceptos de las ciencias sociales a situaciones de la vida diaria
* comunicar preferencias sobre conceptos de las ciencias sociales",English Language Arts,['K'],Standard
1757fa21-9f23-4687-8be1-6a23caeb1f41,DALE-SA.2-3.argumentar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar argumentos para...
* crear reformulaciones discursivas a base de la opinión de otros
* declarar opiniones con razones
* proveer retroalimentación sobre las ideas de otros
* justificar cambios de pensamiento
* comunicar los ajustes o refinamientos de opiniones a base de nueva información
* defender la exactitud, perspectiva, credibilidad y relevancia de información
* presentar sobre cómo su dominio depende de la práctica y su compromiso con el aprendizaje",English Language Arts,"['2', '3']",Standard
44841f62-f3c4-451e-9a80-a57166b2665c,DALE-AL.2-3.informar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar información para...
* identificar temas y/o entidades
* clasificar entidades según los detalles proporcionados
* navegar textos de manera coherente y cohesiva
* relacionar ideas, conocimientos y conceptos provenientes de diversas fuentes
* distinguir relaciones explícitas entre acontecimientos, ideas o conceptos en textos
* evaluar procedimientos o procesos",English Language Arts,"['2', '3']",Standard
